Match type,Repository,Repository external URL
repo,github.com/goplus/xgo,https://sourcegraph.com/github.com/goplus/xgo
repo,github.com/projectdiscovery/utils,https://sourcegraph.com/github.com/projectdiscovery/utils
repo,github.com/Scalingo/link,https://sourcegraph.com/github.com/Scalingo/link
repo,github.com/mozillazg/ptcpdump,https://sourcegraph.com/github.com/mozillazg/ptcpdump
repo,github.com/pshima/consul-snapshot,https://sourcegraph.com/github.com/pshima/consul-snapshot
repo,github.com/stashed/stash,https://sourcegraph.com/github.com/stashed/stash
repo,github.com/naeemaei/Golang-Tutorial,https://sourcegraph.com/github.com/naeemaei/Golang-Tutorial
repo,github.com/neilotoole/sq,https://sourcegraph.com/github.com/neilotoole/sq
repo,github.com/baidingtech/operator-lesson-demo,https://sourcegraph.com/github.com/baidingtech/operator-lesson-demo
repo,github.com/aerospike/aerospike-client-go,https://sourcegraph.com/github.com/aerospike/aerospike-client-go
repo,github.com/Khan/khan-linter,https://sourcegraph.com/github.com/Khan/khan-linter
repo,github.com/letsencrypt/ct-woodpecker,https://sourcegraph.com/github.com/letsencrypt/ct-woodpecker
repo,github.com/kaito-project/kaito,https://sourcegraph.com/github.com/kaito-project/kaito
repo,github.com/nfx/go-htmltable,https://sourcegraph.com/github.com/nfx/go-htmltable
repo,github.com/stripe/smokescreen,https://sourcegraph.com/github.com/stripe/smokescreen
repo,github.com/tuneinsight/lattigo,https://sourcegraph.com/github.com/tuneinsight/lattigo
repo,github.com/umputun/sys-agent,https://sourcegraph.com/github.com/umputun/sys-agent
repo,github.com/kazhuravlev/just,https://sourcegraph.com/github.com/kazhuravlev/just
repo,github.com/seborama/fuego,https://sourcegraph.com/github.com/seborama/fuego
repo,github.com/alphagov/router,https://sourcegraph.com/github.com/alphagov/router
repo,github.com/MarvinJWendt/testza,https://sourcegraph.com/github.com/MarvinJWendt/testza
repo,github.com/XMQSVIP/SoEasyPack,https://sourcegraph.com/github.com/XMQSVIP/SoEasyPack
repo,github.com/ovh/terraform-provider-ovh,https://sourcegraph.com/github.com/ovh/terraform-provider-ovh
repo,github.com/hrfee/jfa-go,https://sourcegraph.com/github.com/hrfee/jfa-go
repo,github.com/hashicorp/terraform-provider-azurestack,https://sourcegraph.com/github.com/hashicorp/terraform-provider-azurestack
repo,github.com/sashabaranov/go-openai,https://sourcegraph.com/github.com/sashabaranov/go-openai
repo,github.com/kardolus/chatgpt-cli,https://sourcegraph.com/github.com/kardolus/chatgpt-cli
repo,github.com/k0rdent/kcm,https://sourcegraph.com/github.com/k0rdent/kcm
repo,github.com/bitrise-io/bitrise-webhooks,https://sourcegraph.com/github.com/bitrise-io/bitrise-webhooks
repo,github.com/kevinlisr/baidingtech,https://sourcegraph.com/github.com/kevinlisr/baidingtech
repo,github.com/novalagung/dasarpemrogramangolang-example,https://sourcegraph.com/github.com/novalagung/dasarpemrogramangolang-example
repo,github.com/idsulik/go-collections,https://sourcegraph.com/github.com/idsulik/go-collections
repo,github.com/eatonphil/tinyprograms,https://sourcegraph.com/github.com/eatonphil/tinyprograms
repo,github.com/danielfoehrKn/kubeswitch,https://sourcegraph.com/github.com/danielfoehrKn/kubeswitch
repo,github.com/restic/restic,https://sourcegraph.com/github.com/restic/restic
repo,github.com/erni27/imcache,https://sourcegraph.com/github.com/erni27/imcache
repo,github.com/uber-go/mock,https://sourcegraph.com/github.com/uber-go/mock
repo,github.com/sandialabs/wiretap,https://sourcegraph.com/github.com/sandialabs/wiretap
repo,github.com/go-faster/oteldb,https://sourcegraph.com/github.com/go-faster/oteldb
repo,github.com/zeromicro/go-zero,https://sourcegraph.com/github.com/zeromicro/go-zero
repo,github.com/polyred/polyred,https://sourcegraph.com/github.com/polyred/polyred
repo,github.com/phuhao00/greatestworks,https://sourcegraph.com/github.com/phuhao00/greatestworks
repo,github.com/RiemaLabs/modular-indexer-light,https://sourcegraph.com/github.com/RiemaLabs/modular-indexer-light
repo,github.com/NetApp/trident,https://sourcegraph.com/github.com/NetApp/trident
